ID,Log,logDate,logDuration,logClass,success,bossNameID
1,https://dps.report/kDRR-20210822-173248_arkk,2021-08-22 15:30:38,124.657,1,1,1
2,https://dps.report/R4eT-20210817-173550_arkk,2021-08-17 15:33:23,142.727,1,1,1
3,https://dps.report/plwC-20210825-183642_arkk,2021-08-25 16:34:25,121.97,1,1,1
4,https://dps.report/shw7-20210824-172454_arkk,2021-08-24 15:22:40,125.087,1,1,1
5,https://dps.report/Gtno-20210830-180153_arkk,2021-08-30 15:59:56,117.47,0,0,1
6,https://dps.report/K5WD-20210826-173937_arkk,2021-08-26 15:37:22,124.318,1,1,1
7,https://dps.report/GfLB-20210830-180516_arkk,2021-08-30 16:03:03,128.952,0,1,1
8,https://dps.report/KyGg-20210831-181755_arkk,2021-08-31 16:16:22,91.287,0,1,1
9,https://dps.report/q8Aa-20210903-180229_arkk,2021-09-03 15:59:48,121.525,1,1,1
10,https://dps.report/5Ug7-20210904-162557_arkk,2021-09-04 14:23:43,127.669,1,1,1
11,https://dps.report/Mx0G-20210905-165631_arkk,2021-09-05 14:55:10,78.175,1,0,1
12,https://dps.report/LQic-20210905-165921_arkk,2021-09-05 14:57:03,122.228,1,1,1
13,https://dps.report/u5cg-20210906-174448_arkk,2021-09-06 15:42:43,116.434,1,1,1
14,https://dps.report/YLJl-20210907-175207_arkk,2021-09-07 15:50:04,115.114,1,1,1
15,https://dps.report/PfNM-20210908-174436_arkk,2021-09-08 15:42:16,130.463,1,1,1
16,https://dps.report/PLw2-20210808-180113_arkk,2021-08-08 15:59:26,96.177,0,1,1
17,https://dps.report/mwbA-20210903-175900_arriv,2021-09-03 15:57:24,87.966,1,1,2
18,https://dps.report/lEF3-20210831-181340_arriv,2021-08-31 16:12:15,80.72,0,1,2
19,https://dps.report/hvuI-20210904-162142_arriv,2021-09-04 14:19:57,90.5,1,1,2
20,https://dps.report/NxGI-20210905-165427_arriv,2021-09-05 14:52:48,94.669,1,1,2
21,https://dps.report/Y6N1-20210906-174210_arriv,2021-09-06 15:40:29,92.648,1,1,2
22,https://dps.report/XKHb-20210907-174925_arriv,2021-09-07 15:47:55,83.795,1,1,2
23,https://dps.report/DNrl-20210808-175452_arriv,2021-08-08 15:53:56,56.489,0,0,2
24,https://dps.report/pD1k-20210908-174118_arriv,2021-09-08 15:39:47,83.044,1,1,2
25,https://dps.report/jKjh-20210808-175650_arriv,2021-08-08 15:56:00,46.323,0,1,2
26,https://dps.report/r6iS-20210817-173245_arriv,2021-08-17 15:31:14,81.691,1,1,2
27,https://dps.report/F6Ny-20210822-172945_arriv,2021-08-22 15:28:14,85.847,1,1,2
28,https://dps.report/8f9j-20210821-161826_arriv,2021-08-21 14:16:42,91.079,1,1,2
29,https://dps.report/AzQk-20210824-172214_arriv,2021-08-24 15:20:50,79.306,1,1,2
30,https://dps.report/7afG-20210825-183402_arriv,2021-08-25 16:32:18,91.931,1,1,2
31,https://dps.report/NGhp-20210826-173622_arriv,2021-08-26 15:34:40,92.551,1,1,2
32,https://dps.report/I6Bp-20210831-180611_arriv,2021-08-31 16:05:21,28.835,0,1,2
34,https://dps.report/kQ4T-20210824-171634_skor,2021-08-24 15:16:04,25.897,1,0,3
35,https://dps.report/D1Kg-20210824-171907_skor,2021-08-24 15:16:51,105.98,1,1,3
36,https://dps.report/yec7-20210825-183038_skor,2021-08-25 16:28:17,115.66,1,1,3
37,https://dps.report/FP86-20210826-173242_skor,2021-08-26 15:30:52,97.683,1,1,3
